25/05/61,YOU'RE DRIVING ME CRAZY,1
01/06/61,SURRENDER,4
29/06/61,RUNAWAY,3
20/07/61,TEMPTATION,2
03/08/61,WELL I ASK YOU,1
10/08/61,YOU DON'T KNOW,3
31/08/61,JOHNNY REMEMBER ME,3
21/09/61,REACH FOR THE STARS/CLIMB EV'RY MOUNTAIN,1
28/09/61,JOHNNY REMEMBER ME,1
05/10/61,KON-TIKI,1
12/10/61,MICHAEL,1
19/10/61,WALKIN' BACK TO HAPPINESS,3
09/11/61,(MARIE'S THE NAME) HIS LATEST FLAME/LITTLE SISTER,4
07/12/61,TOWER OF STRENGTH,3
28/12/61,MOON RIVER,2
11/01/62,THE YOUNG ONES,6
22/02/62,ROCK A HULA BABY/CAN'T HELP FALLING IN LOVE,4
22/03/62,WONDERFUL LAND,8
17/05/62,NUT ROCKER,1
24/05/62,GOOD LUCK CHARM,5
28/06/62,COME OUTSIDE,2
12/07/62,I CAN'T STOP LOVING YOU,2
26/07/62,I REMEMBER YOU,7
13/09/62,SHE'S NOT YOU,3
04/10/62,TELSTAR,5
08/11/62,LOVESICK BLUES,5
13/12/62,RETURN TO SENDER,3
03/01/63,THE NEXT TIME/BACHELOR BOY,3
24/01/63,DANCE ON!,1
31/01/63,DIAMONDS,3
21/02/63,THE WAYWARD WIND,3
14/03/63,SUMMER HOLIDAY,2
29/03/63,FOOT TAPPER,1
04/04/63,SUMMER HOLIDAY,1
11/04/63,HOW DO YOU DO IT?,3
02/05/63,FROM ME TO YOU,7
20/06/63,I LIKE IT,4
18/07/63,CONFESSIN' (THAT I LOVE YOU),2
01/08/63,(YOU'RE THE) DEVIL IN DISGUISE,1
08/08/63,SWEETS FOR MY SWEET,2
22/08/63,BAD TO ME,3
12/09/63,SHE LOVES YOU,4
10/10/63,DO YOU LOVE ME,3
31/10/63,YOU'LL NEVER WALK ALONE,4
28/11/63,SHE LOVES YOU,2
12/12/63,I WANT TO HOLD YOUR HAND,5
16/01/64,GLAD ALL OVER,2
30/01/64,NEEDLES AND PINS,3
20/02/64,DIANE,1
27/02/64,ANYONE WHO HAD A HEART,3
19/03/64,LITTLE CHILDREN,2
02/04/64,CAN'T BUY ME LOVE,3
23/04/64,A WORLD WITHOUT LOVE,2
07/05/64,DON'T THROW YOUR LOVE AWAY,2
21/05/64,JULIET,1
28/05/64,YOU'RE MY WORLD,4
25/06/64,IT'S OVER,2
09/07/64,THE HOUSE OF THE RISING SUN,1
16/07/64,IT'S ALL OVER NOW,1
23/07/64,A HARD DAY'S NIGHT,3
13/08/64,DO WAH DIDDY DIDDY,2
27/08/64,HAVE I THE RIGHT,2
10/09/64,YOU REALLY GOT ME,2
24/09/64,I'M INTO SOMETHING GOOD,2
